2026-03-28 09:38:09,575 - DEBUG - 'Middleware' all resource and security successfully loaded!| extra=asctime='2026-03-28 09:38:09,575'
2026-03-28 09:40:47,812 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:47,812'
2026-03-28 09:40:48,028 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:48,028'
2026-03-28 09:40:48,470 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:48,470'
2026-03-28 09:40:48,497 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:48,497'
2026-03-28 09:40:48,650 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:48,650'
2026-03-28 09:40:48,786 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:48,786'
2026-03-28 09:40:48,882 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:48,882'
2026-03-28 09:40:49,043 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:49,043'
2026-03-28 09:40:49,146 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:40:49,146'
2026-03-28 09:41:29,428 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:29,428'
2026-03-28 09:41:30,154 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,154'
2026-03-28 09:41:30,164 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,164'
2026-03-28 09:41:30,206 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,206'
2026-03-28 09:41:30,216 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,216'
2026-03-28 09:41:30,224 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,224'
2026-03-28 09:41:30,826 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,826'
2026-03-28 09:41:30,866 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,866'
2026-03-28 09:41:30,907 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:30,907'
2026-03-28 09:41:31,047 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:31,047'
2026-03-28 09:41:31,201 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:31,201'
2026-03-28 09:41:31,293 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:31,293'
2026-03-28 09:41:31,364 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/webfonts/fa-regular-400.woff2 from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:31,364'
2026-03-28 09:41:31,374 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:31,374'
2026-03-28 09:41:43,278 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:43,278'
2026-03-28 09:41:43,999 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:43,999'
2026-03-28 09:41:44,020 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:44,020'
2026-03-28 09:41:44,132 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:44,132'
2026-03-28 09:41:44,253 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:44,253'
2026-03-28 09:41:44,477 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:44,477'
2026-03-28 09:41:44,952 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:44,952'
2026-03-28 09:41:44,974 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:44,974'
2026-03-28 09:41:45,035 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:45,035'
2026-03-28 09:41:45,085 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:45,085'
2026-03-28 09:41:45,136 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:45,136'
2026-03-28 09:41:45,187 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:45,187'
2026-03-28 09:41:45,217 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:41:45,217'
2026-03-28 09:42:09,863 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:09,863'
2026-03-28 09:42:11,282 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:11,282'
2026-03-28 09:42:11,435 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:11,435'
2026-03-28 09:42:11,719 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:11,719'
2026-03-28 09:42:11,920 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:11,920'
2026-03-28 09:42:11,984 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:11,984'
2026-03-28 09:42:15,861 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:15,861'
2026-03-28 09:42:15,942 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:15,942'
2026-03-28 09:42:16,278 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:16,278'
2026-03-28 09:42:16,573 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:16,573'
2026-03-28 09:42:16,653 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:16,653'
2026-03-28 09:42:16,684 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:16,684'
2026-03-28 09:42:20,822 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:20,822'
2026-03-28 09:42:53,640 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:53,640'
2026-03-28 09:42:54,453 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:54,453'
2026-03-28 09:42:54,738 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:54,738'
2026-03-28 09:42:54,936 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:54,936'
2026-03-28 09:42:54,984 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:54,984'
2026-03-28 09:42:55,264 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:55,264'
2026-03-28 09:42:56,011 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:56,011'
2026-03-28 09:42:56,035 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:56,035'
2026-03-28 09:42:56,200 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:56,200'
2026-03-28 09:42:56,411 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:56,411'
2026-03-28 09:42:56,666 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:56,666'
2026-03-28 09:42:56,783 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:56,783'
2026-03-28 09:42:56,885 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:42:56,885'
2026-03-28 09:43:10,972 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:10,972'
2026-03-28 09:43:11,962 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:11,962'
2026-03-28 09:43:12,196 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:12,196'
2026-03-28 09:43:12,262 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:12,262'
2026-03-28 09:43:12,442 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:12,442'
2026-03-28 09:43:12,982 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:12,982'
2026-03-28 09:43:13,875 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:13,875'
2026-03-28 09:43:13,920 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:13,920'
2026-03-28 09:43:14,100 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:14,100'
2026-03-28 09:43:14,448 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:14,448'
2026-03-28 09:43:14,544 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:14,544'
2026-03-28 09:43:14,646 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:14,646'
2026-03-28 09:43:14,697 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:43:14,697'
2026-03-28 09:47:07,073 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:07,073'
2026-03-28 09:47:07,776 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:07,776'
2026-03-28 09:47:07,847 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:07,847'
2026-03-28 09:47:08,100 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:08,100'
2026-03-28 09:47:08,183 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:08,183'
2026-03-28 09:47:08,325 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:08,325'
2026-03-28 09:47:09,026 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:09,026'
2026-03-28 09:47:09,196 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:09,196'
2026-03-28 09:47:09,259 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:09,259'
2026-03-28 09:47:09,287 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:09,287'
2026-03-28 09:47:09,361 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:09,361'
2026-03-28 09:47:09,453 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:09,453'
2026-03-28 09:47:09,564 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:09,564'
2026-03-28 09:47:45,933 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:45,933'
2026-03-28 09:47:46,654 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:46,654'
2026-03-28 09:47:46,845 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:46,845'
2026-03-28 09:47:46,887 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:46,887'
2026-03-28 09:47:47,111 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:47,111'
2026-03-28 09:47:47,325 - DEBUG - Request: GET /static/natural/js/loader.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:47,325'
2026-03-28 09:47:48,127 - DEBUG - Request: GET /static/natural/js/app/app.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:48,127'
2026-03-28 09:47:48,178 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/alert.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:48,178'
2026-03-28 09:47:48,196 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/validator.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:48,196'
2026-03-28 09:47:48,280 - DEBUG - Request: GET /static/natural/js/shorturl/utilities/anima.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:48,280'
2026-03-28 09:47:48,391 - DEBUG - Request: GET /static/natural/js/shorturl/login/userlog.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:48,391'
2026-03-28 09:47:48,483 - DEBUG - Request: GET /static/natural/js/shorturl/landingpg/land.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:48,483'
2026-03-28 09:47:48,868 - DEBUG - Request: GET /static/natural/js/api.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:47:48,868'
2026-03-28 09:48:55,830 - DEBUG - Request: GET /register from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:48:55,830'
2026-03-28 09:48:56,551 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/css/bootstrap.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:48:56,551'
2026-03-28 09:48:56,735 - DEBUG - Request: GET /static/library/fontawesome-6.7.2/css/all.min.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:48:56,735'
2026-03-28 09:48:56,817 - DEBUG - Request: GET /static/natural/css/style.css from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:48:56,817'
2026-03-28 09:48:56,987 - DEBUG - Request: GET /static/framework/bootstrap-5.3.3/js/bootstrap.bundle.min.js from 127.0.0.1| extra=ip='127.0.0.1', asctime='2026-03-28 09:48:56,987'
